feature,importance_gain,importance_split
price_position_in_range,3612.287099838257,69
quality_score,2789.4199647903442,57
dist_to_swing_low_pct,1989.4444942474365,50
ctx_candle_expansion_expansion,1640.9318046569824,29
stop_distance_pct,1579.9467029571533,62
strength,1570.9144916534424,33
vix_close,1531.2131204605103,61
days_to_fomc,1438.6650896072388,46
dist_to_swing_high_pct,1380.5161304473877,30
week_of_year,1338.8574018478394,55
direction_long,1240.2388010025024,27
vix_percentile_1y,1134.9635915756226,44
capital_available_pct,909.8687992095947,29
rsi_14,803.8344974517822,34
price_vs_or_high_pct,775.5583972930908,28
dist_to_fib_382_pct,694.7165284156799,31
volume_ratio,690.8932271003723,26
structural_range_pct,663.0384044647217,30
atr_pct,568.5644044876099,23
hour_utc,545.4141998291016,20
ema_50,545.0805988311768,25
price_vs_or_low_pct,538.1030950546265,21
days_from_earnings,514.027096748352,24
upper_wick_pct,508.10632848739624,26
price_vs_ema9_pct,497.3146905899048,21
dist_to_fib_618_pct,482.9732942581177,24
atr_14,473.11219096183777,24
price_vs_vwap_pct,467.8806962966919,20
day_of_week,421.74470615386963,19
candle_body_pct,420.79617834091187,22
cvd_normalized,406.61529636383057,20
lower_wick_pct,342.34370136260986,17
direction_short,323.0650043487549,7
dist_to_fib_500_pct,311.8216485977173,15
days_to_earnings,288.62560081481934,13
ema_20,276.4862976074219,15
dist_to_ob_pct,215.752197265625,9
is_quarter_end,171.9818000793457,4
dist_to_fvg_pct,170.64809894561768,8
symbol_group_fintech,130.05279922485352,6
symbol_group_tech,127.33230018615723,5
is_opex_week,107.59439849853516,4
regime_spy_bull,96.07010078430176,5
month_of_year,82.91900253295898,3
ctx_volatility_regime_normal,80.96939849853516,3
regime_spy_neutral,74.58320045471191,3
vix_regime_normal,68.90480041503906,2
in_fvg_bullish,50.20340061187744,3
symbol_group_commodities,47.200499534606934,2
rs_vs_spy_5,41.295639991760254,3
rs_vs_spy,40.51580047607422,2
is_quarter_start,31.409700393676758,1
symbol_group_ev_mobility,28.4783992767334,1
symbol_group_consumer,25.881999969482422,1
in_ob_bullish,20.7677001953125,1
in_earnings_window,19.978300094604492,1
symbol_group_biotech,19.14900016784668,1
ctx_candle_expansion_compression,18.89900016784668,1
in_fvg_bearish,13.62440013885498,1
ctx_volatility_regime_high,13.149399757385254,1
symbol_group_space_defense,12.953800201416016,1
n_open_positions,11.461099624633789,1
ob_strength,0.0,0
rr_tp1,0.0,0
in_ob_bearish,0.0,0
has_quality_score,0.0,0
rr_tp2,0.0,0
symbol_group_crypto_proxy,0.0,0
symbol_group_gaming,0.0,0
symbol_group_nan,0.0,0
symbol_group_etf_index,0.0,0
symbol_group_crypto_fintech,0.0,0
symbol_group_crypto_mining,0.0,0
symbol_group_semis,0.0,0
symbol_group_saas,0.0,0
symbol_group_nuclear_energy,0.0,0
symbol_group_broker,0.0,0
cvd_trend_neutral,0.0,0
cvd_trend_bullish,0.0,0
cvd_trend_bearish,0.0,0
ctx_direction_bias_nan,0.0,0
ctx_direction_bias_bullish,0.0,0
ctx_direction_bias_bearish,0.0,0
direction_nan,0.0,0
ctx_candle_expansion_normal,0.0,0
regime_spy_nan,0.0,0
rs_signal_bear,0.0,0
rs_signal_bull,0.0,0
rs_signal_neutral,0.0,0
rs_signal_strong_bear,0.0,0
cvd_trend_nan,0.0,0
regime_spy_bear,0.0,0
ctx_candle_expansion_nan,0.0,0
ctx_market_regime_range,0.0,0
rs_signal_nan,0.0,0
rs_signal_strong_bull,0.0,0
ctx_market_regime_nan,0.0,0
ctx_volatility_regime_low,0.0,0
ctx_volatility_regime_nan,0.0,0
vix_regime_elevated,0.0,0
ctx_market_regime_trend,0.0,0
vix_regime_high,0.0,0
vix_regime_low,0.0,0
vix_regime_nan,0.0,0
session_close,0.0,0
session_midday,0.0,0
session_nan,0.0,0
timeframe_1h,0.0,0
timeframe_nan,0.0,0
