pattern,regime,train_trades,train_wr,train_ev,test_trades,test_wr,test_ev,degradation_ev,promoted
double_top,universal,4884,6781.3,0.4063,3038,6774.2,0.4325,0.0262,
double_top,bull,2875,6772.2,0.3677,1657,6735.1,0.3717,0.0040,
double_top,bear,511,7084.1,0.6494,205,6585.4,0.4802,-0.1692,
double_top,neutral,1507,6708.7,0.4006,1178,6859.1,0.5090,0.1084,
double_bottom,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
double_bottom,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
double_bottom,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
double_bottom,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
macd_divergence_bull,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
macd_divergence_bull,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
macd_divergence_bull,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
macd_divergence_bull,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
macd_divergence_bear,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
macd_divergence_bear,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
macd_divergence_bear,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
macd_divergence_bear,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
rsi_momentum_continuation,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
rsi_momentum_continuation,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
rsi_momentum_continuation,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
rsi_momentum_continuation,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
compression_to_expansion_transition,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
compression_to_expansion_transition,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
compression_to_expansion_transition,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
compression_to_expansion_transition,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
engulfing_bullish,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
engulfing_bullish,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
engulfing_bullish,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
engulfing_bullish,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
engulfing_bearish,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
engulfing_bearish,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
engulfing_bearish,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
engulfing_bearish,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
trend_continuation_pullback,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
trend_continuation_pullback,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
trend_continuation_pullback,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
trend_continuation_pullback,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
breakout_with_retest,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
breakout_with_retest,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
breakout_with_retest,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
breakout_with_retest,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fibonacci_bounce,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fibonacci_bounce,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fibonacci_bounce,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fibonacci_bounce,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
impulsive_bullish_candle,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
impulsive_bullish_candle,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
impulsive_bullish_candle,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
impulsive_bullish_candle,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
impulsive_bearish_candle,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
impulsive_bearish_candle,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
impulsive_bearish_candle,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
impulsive_bearish_candle,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
inside_bar_breakout_bull,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
inside_bar_breakout_bull,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
inside_bar_breakout_bull,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
inside_bar_breakout_bull,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
resistance_rejection,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
resistance_rejection,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
resistance_rejection,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
resistance_rejection,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
ema_pullback_to_support,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
ema_pullback_to_support,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
ema_pullback_to_support,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
ema_pullback_to_support,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
ema_pullback_to_resistance,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
ema_pullback_to_resistance,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
ema_pullback_to_resistance,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
ema_pullback_to_resistance,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fvg_retest_bull,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fvg_retest_bull,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fvg_retest_bull,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fvg_retest_bull,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fvg_retest_bear,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fvg_retest_bear,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fvg_retest_bear,bear,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
fvg_retest_bear,neutral,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
shooting_star_reversal,universal,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
shooting_star_reversal,bull,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
